timestamp,source_ip,destination_ip,protocol,port,bytes_transferred
2024-07-09 23:29:37.620400,75.95.72.232,183.175.64.176,TCP,849,1102.51
2024-07-10 03:04:03.620400,51.131.97.69,195.61.157.32,SMTP,6736,1748.54
2024-07-09 09:33:06.620400,117.181.129.247,141.143.72.20,DNS,52528,365.14
2024-07-10 03:30:46.620400,117.129.19.163,36.185.227.212,UDP,28727,665.51
2024-07-10 02:08:54.620400,17.133.86.46,5.206.132.75,TCP,51692,1444.31
2024-07-09 08:56:38.620400,155.251.110.212,85.182.5.41,SMTP,52747,98.84
2024-07-09 10:56:34.620400,177.241.252.233,43.91.171.38,HTTP,29928,2162.28
2024-07-10 04:22:08.620400,97.101.40.31,82.225.45.3,HTTPS,38354,412.33
2024-07-09 16:22:26.620400,27.208.210.65,40.132.56.228,SMTP,10435,89.62
2024-07-10 07:31:11.620400,222.49.82.220,135.141.227.214,TCP,27715,2511.44
2024-07-09 23:00:43.620400,210.47.119.54,141.185.19.98,TCP,51947,465.48
2024-07-10 07:46:44.620400,17.119.179.53,179.166.110.86,SMTP,14524,424.55
2024-07-10 03:44:25.620400,202.42.206.2,60.211.217.162,TCP,3933,1686.94
2024-07-10 04:53:56.620400,61.37.198.20,14.233.87.233,DNS,3284,1739.34
2024-07-09 19:16:07.620400,35.172.190.223,121.238.182.209,TCP,1743,11.49
2024-07-09 15:13:15.620400,3.124.106.239,52.230.81.117,DNS,44370,256.49
2024-07-10 06:43:52.620400,206.84.99.229,146.122.74.33,FTP,16266,3126.06
2024-07-10 02:13:52.620400,204.134.101.171,13.92.41.221,FTP,62329,2687.24
2024-07-10 00:24:01.620400,123.219.238.180,129.225.181.129,SSH,32478,287.42
2024-07-10 04:00:16.620400,160.235.220.22,23.122.154.10,SMTP,30137,510.59
2024-07-10 00:29:41.620400,210.32.4.59,173.101.158.202,SMTP,34097,520.31
2024-07-09 13:00:25.620400,10.228.72.230,19.93.39.227,FTP,40243,1221.38
2024-07-09 19:40:55.620400,192.74.12.178,17.209.8.137,FTP,38028,7.42
2024-07-10 05:39:22.620400,14.229.185.36,208.93.212.124,SSH,313,1414.03
2024-07-10 02:03:58.620400,199.244.240.165,191.164.12.200,HTTPS,43712,1670.87
2024-07-09 09:19:23.620400,67.212.96.110,145.39.142.131,SMTP,40287,2237.96
2024-07-09 16:18:26.620400,135.14.39.91,94.244.34.233,FTP,10332,90.75
2024-07-09 11:13:43.620400,17.101.94.100,11.28.91.250,SSH,26980,261.23
2024-07-09 14:47:50.620400,76.76.84.4,21.121.205.225,HTTPS,1602,53.92
2024-07-10 08:04:13.620400,75.45.171.203,208.186.243.35,SMTP,52526,955.02
2024-07-10 02:34:12.620400,53.107.78.23,183.209.231.10,HTTPS,4982,2977.33
2024-07-09 11:37:33.620400,95.130.136.250,119.70.11.200,SMTP,63604,1239.59
2024-07-10 01:45:09.620400,123.50.174.79,124.220.16.197,HTTPS,31913,2105.16
2024-07-10 00:31:24.620400,197.195.185.73,63.225.39.109,TCP,35781,658.28
2024-07-10 04:40:33.620400,186.148.209.81,21.79.177.224,UDP,3113,1146.64
2024-07-09 15:06:17.620400,121.190.222.39,43.162.172.31,UDP,8467,174.6
2024-07-09 22:49:29.620400,55.89.97.193,174.171.168.86,DNS,37554,351.54
2024-07-10 07:43:41.620400,34.29.243.18,210.222.254.173,TCP,5368,1909.62
2024-07-09 23:55:05.620400,210.54.206.45,138.189.99.64,DNS,47964,538.61
2024-07-10 07:26:35.620400,202.107.222.18,43.157.251.87,TCP,32300,2301.51
2024-07-09 15:19:17.620400,5.63.19.235,91.71.39.66,FTP,34799,540.04
2024-07-10 00:18:25.620400,34.170.218.238,132.38.62.18,UDP,17087,129.92
2024-07-09 10:30:21.620400,219.172.170.172,195.86.84.173,HTTP,31193,1716.79
2024-07-09 21:18:08.620400,182.22.110.168,218.253.228.254,HTTP,45541,244.83
2024-07-09 13:28:00.620400,8.89.202.150,55.180.138.48,FTP,47072,607.54
2024-07-10 05:15:37.620400,43.5.219.138,26.167.52.131,FTP,47036,1655.81
2024-07-10 04:58:25.620400,114.17.31.201,24.74.238.158,TCP,39889,889.02
2024-07-10 04:27:30.620400,6.37.186.194,105.97.144.171,TCP,36657,456.54
2024-07-10 02:35:35.620400,58.76.0.60,37.4.204.202,DNS,57883,192.11
2024-07-10 06:25:36.620400,145.5.197.4,142.200.191.194,HTTP,45669,583.87
2024-07-10 02:49:40.620400,121.135.42.116,146.97.226.221,HTTP,49808,3069.73
2024-07-10 02:29:35.620400,190.191.26.6,165.118.173.26,HTTP,39968,625.16
2024-07-10 08:27:17.620400,207.212.201.150,35.188.35.201,SSH,42942,1617.65
2024-07-09 17:10:17.620400,110.20.129.214,113.25.231.230,SMTP,3416,17.46
2024-07-10 01:33:29.620400,166.72.223.71,8.110.216.27,TCP,51109,1576.0
2024-07-10 00:11:33.620400,142.67.54.226,176.89.119.132,SSH,64839,214.94
2024-07-10 04:02:30.620400,155.173.149.230,142.199.60.90,HTTPS,11310,1942.12
2024-07-09 17:35:32.620400,161.153.124.215,215.166.139.141,SMTP,57803,8.08
2024-07-09 18:00:11.620400,96.255.50.157,209.50.96.141,HTTP,8197,0.0
2024-07-09 23:09:49.620400,93.0.146.186,170.114.195.127,HTTPS,19836,415.22
2024-07-09 15:21:15.620400,171.223.76.162,27.74.83.179,SSH,13438,61.2
2024-07-09 15:36:55.620400,109.169.213.6,34.240.179.26,DNS,39051,57.2
2024-07-10 03:48:13.620400,96.98.247.154,48.250.6.156,HTTPS,14172,213.97
2024-07-09 12:30:50.620400,155.36.112.70,101.33.69.135,FTP,6923,1632.01
2024-07-10 00:43:43.620400,2.28.181.15,67.100.134.45,SSH,32911,1050.1
2024-07-10 08:04:29.620400,195.50.2.110,99.94.190.14,HTTP,30206,1261.56
2024-07-10 00:15:48.620400,23.87.127.146,183.248.239.246,TCP,5478,1205.61
2024-07-10 05:34:21.620400,222.203.17.181,185.243.83.246,HTTP,44887,129.45
2024-07-09 14:00:02.620400,119.193.15.131,122.41.246.195,UDP,1517,547.06
2024-07-09 10:29:03.620400,64.138.110.237,213.13.78.189,FTP,32905,2558.23
2024-07-09 21:10:33.620400,182.59.234.45,144.205.62.190,FTP,39995,498.55
2024-07-09 13:28:59.620400,156.172.34.66,135.161.39.24,HTTP,62290,1146.1
2024-07-10 00:44:20.620400,20.24.69.239,98.87.184.223,FTP,31409,2069.74
2024-07-09 14:15:08.620400,118.159.16.155,113.155.42.24,SMTP,42157,506.42
2024-07-09 13:15:40.620400,86.174.150.4,124.52.3.90,SSH,28096,320.55
2024-07-09 14:14:09.620400,205.69.16.89,82.142.100.246,UDP,5082,352.03
2024-07-09 19:24:58.620400,207.23.206.182,125.92.181.200,TCP,49207,34.14
2024-07-09 09:11:46.620400,14.159.168.60,28.125.166.56,TCP,1090,1483.79
2024-07-09 13:05:15.620400,120.246.32.229,185.63.129.141,FTP,42267,1246.0
2024-07-10 08:27:58.620400,44.98.163.149,126.83.34.120,SSH,54517,457.04
2024-07-10 08:10:32.620400,121.164.217.160,192.107.128.33,HTTPS,39082,662.26
2024-07-09 21:40:56.620400,81.57.237.117,29.82.144.56,UDP,53894,391.2
2024-07-09 20:38:32.620400,146.131.79.123,217.39.166.24,HTTP,53059,98.49
2024-07-09 16:26:20.620400,76.186.116.221,51.209.153.131,TCP,36212,157.13
2024-07-09 18:33:28.620400,58.142.95.137,138.71.131.17,UDP,10874,0.0
2024-07-10 03:52:57.620400,101.88.136.135,202.63.121.174,DNS,26472,1151.72
2024-07-10 06:38:05.620400,183.53.249.250,31.56.13.214,TCP,43633,2142.04
2024-07-09 21:02:56.620400,3.100.253.50,11.144.2.170,HTTPS,6484,347.62
2024-07-09 20:05:41.620400,10.71.99.159,148.54.95.108,TCP,19138,52.12
2024-07-09 14:06:59.620400,152.169.168.149,9.125.244.110,FTP,45902,562.96
2024-07-09 12:35:06.620400,109.190.0.55,126.185.37.221,DNS,41296,1484.81
2024-07-09 22:46:25.620400,1.109.232.145,75.130.123.232,SMTP,37349,179.18
2024-07-09 10:17:06.620400,31.32.217.173,219.179.94.119,SSH,3107,1723.58
2024-07-10 02:39:27.620400,40.252.179.16,173.5.127.102,FTP,64713,1491.68
2024-07-10 06:16:24.620400,81.175.233.192,81.232.182.66,FTP,55666,692.97
2024-07-09 11:00:18.620400,110.196.135.115,118.234.166.230,HTTPS,57041,802.62
2024-07-10 03:08:21.620400,112.27.170.72,18.139.93.210,HTTPS,23997,634.77
2024-07-10 04:28:33.620400,24.102.171.182,95.167.78.185,HTTPS,57920,2479.39
2024-07-09 18:50:29.620400,184.122.35.83,182.189.10.140,DNS,32357,0.0
2024-07-09 11:02:17.620400,72.138.116.42,33.105.214.75,HTTPS,36435,519.98
2024-07-09 15:28:42.620400,216.157.108.248,56.211.178.108,DNS,2753,286.31
2024-07-10 07:02:17.620400,215.163.235.3,51.229.235.33,FTP,32573,889.59
2024-07-09 16:10:08.620400,176.133.159.158,15.124.213.36,SMTP,5154,194.45
2024-07-09 16:56:09.620400,2.0.117.9,220.185.158.156,DNS,12256,137.67
2024-07-09 21:47:11.620400,131.46.70.249,60.25.30.181,HTTPS,31213,92.39
2024-07-09 18:05:41.620400,180.80.201.60,210.8.19.149,TCP,64352,0.0
2024-07-10 05:08:33.620400,214.204.42.91,86.235.165.228,HTTPS,17344,743.56
2024-07-09 13:15:32.620400,49.106.67.250,80.58.131.184,HTTPS,8282,930.41
2024-07-09 16:25:16.620400,8.170.151.24,108.6.178.0,HTTP,46090,24.35
2024-07-10 01:56:39.620400,79.113.187.43,40.215.226.23,SMTP,5195,67.3
2024-07-10 06:29:33.620400,172.36.128.90,131.255.208.145,HTTPS,21397,744.9
2024-07-09 17:40:38.620400,19.244.173.144,128.223.33.217,SSH,33196,27.27
2024-07-09 17:33:40.620400,99.138.253.91,118.75.217.184,SSH,44616,13.22
2024-07-10 02:14:55.620400,166.90.77.12,7.238.252.210,HTTPS,21174,580.7
2024-07-10 04:35:25.620400,161.130.188.86,29.65.217.255,UDP,41201,722.24
2024-07-09 10:00:49.620400,157.173.179.175,45.119.90.10,HTTP,56582,1846.32
2024-07-09 09:57:12.620400,120.155.231.17,168.236.28.92,TCP,56081,917.44
2024-07-10 05:27:59.620400,153.107.248.199,7.46.136.160,SMTP,18573,2435.62
2024-07-10 06:47:03.620400,139.132.154.197,78.10.110.224,HTTPS,28997,3999.53
2024-07-09 09:53:56.620400,148.227.202.112,108.175.114.110,HTTPS,163,361.87
2024-07-10 01:40:52.620400,214.207.141.68,120.185.252.102,HTTPS,59216,1014.08
2024-07-09 14:04:53.620400,210.42.133.254,215.188.221.162,SSH,15657,608.36
2024-07-09 11:19:47.620400,30.227.6.131,67.221.132.42,TCP,60984,631.28
2024-07-09 16:10:05.620400,156.75.164.29,188.136.155.75,HTTPS,55518,288.55
2024-07-09 18:01:54.620400,167.114.223.85,39.240.128.214,FTP,41884,0.0
2024-07-09 17:40:42.620400,167.105.32.20,59.99.200.47,DNS,40678,43.03
2024-07-09 20:02:55.620400,35.18.209.31,22.5.158.1,HTTP,64158,288.2
2024-07-10 04:52:05.620400,73.24.148.30,186.46.105.21,HTTPS,51272,3644.52
2024-07-09 10:10:55.620400,140.189.114.49,80.27.227.222,FTP,33116,1358.45
2024-07-10 03:18:35.620400,223.32.78.134,200.89.112.78,HTTP,30405,2437.81
2024-07-10 00:25:41.620400,35.107.141.112,220.190.11.180,FTP,757,471.24
2024-07-10 01:13:52.620400,106.45.249.232,206.60.98.214,DNS,14190,838.73
2024-07-09 21:57:18.620400,76.220.32.219,137.65.184.168,HTTP,6535,620.33
2024-07-10 03:05:51.620400,155.50.93.222,177.68.181.184,HTTPS,13217,2764.66
2024-07-09 18:59:09.620400,74.79.225.177,73.149.204.93,DNS,57291,0.0
2024-07-10 05:54:48.620400,5.124.87.212,99.115.22.50,TCP,42812,226.31
2024-07-09 09:56:09.620400,34.35.255.162,163.0.58.45,SMTP,50883,242.62
2024-07-09 20:44:27.620400,54.187.63.180,96.46.167.61,HTTP,52955,300.78
2024-07-10 06:56:36.620400,38.196.124.124,181.100.121.13,HTTPS,56811,1122.32
2024-07-09 22:57:12.620400,136.212.205.150,102.44.95.27,DNS,64551,55.19
2024-07-10 07:07:02.620400,105.77.24.208,120.243.244.236,HTTPS,26100,4326.05
2024-07-10 06:34:56.620400,171.186.160.178,136.144.103.79,TCP,24633,2074.7
2024-07-10 02:49:42.620400,46.168.77.208,22.215.182.3,SSH,26642,1012.6
2024-07-09 22:43:30.620400,99.255.145.97,144.155.9.12,SSH,15334,200.33
2024-07-09 21:01:25.620400,215.45.26.150,136.92.146.203,HTTPS,38047,170.32
2024-07-10 00:41:13.620400,1.130.191.83,197.57.199.78,HTTP,46424,2057.21
2024-07-09 16:09:48.620400,95.158.64.199,175.66.62.16,HTTPS,13168,244.59
2024-07-09 15:31:00.620400,1.120.107.57,29.12.174.147,TCP,64932,51.47
2024-07-09 16:40:54.620400,216.9.213.239,222.11.67.167,SSH,45408,137.83
2024-07-09 20:30:33.620400,222.64.140.215,27.14.178.23,HTTPS,59074,241.81
2024-07-09 10:01:10.620400,30.171.245.64,113.199.212.74,DNS,65289,546.91
2024-07-09 23:06:44.620400,11.237.78.221,172.191.10.238,DNS,13042,421.64
2024-07-09 10:07:50.620400,200.114.215.220,29.30.11.102,UDP,40481,1901.82
2024-07-10 00:04:06.620400,121.80.144.235,143.91.230.174,DNS,52650,156.66
2024-07-09 15:18:38.620400,205.159.83.161,84.164.255.39,HTTPS,39953,10.28
2024-07-10 00:56:11.620400,175.205.163.185,208.75.82.188,DNS,57342,353.05
2024-07-10 06:37:59.620400,113.189.201.232,6.251.119.115,UDP,55649,1969.52
2024-07-09 21:59:00.620400,193.248.226.80,52.39.33.126,TCP,43228,106.08
2024-07-09 22:36:43.620400,221.122.47.195,69.5.131.120,HTTPS,64768,241.95
2024-07-09 16:17:38.620400,132.140.177.247,123.131.162.109,SMTP,2463,189.32
2024-07-09 10:23:08.620400,151.13.8.126,165.176.123.21,TCP,9027,345.29
2024-07-09 22:29:11.620400,128.37.8.42,121.110.79.160,HTTP,14399,1078.95
2024-07-09 14:08:44.620400,220.213.187.2,155.48.32.133,SSH,42884,580.68
2024-07-09 09:10:27.620400,13.78.220.54,188.156.119.62,FTP,44940,3656.76
2024-07-09 18:18:30.620400,8.139.221.52,55.15.178.172,SSH,37799,0.0
2024-07-09 15:35:56.620400,150.30.22.207,98.242.210.190,HTTPS,2986,337.03
2024-07-10 07:23:16.620400,12.205.83.1,35.169.59.50,HTTP,22762,2605.77
2024-07-09 23:06:40.620400,42.240.239.237,54.195.202.23,UDP,38952,766.41
2024-07-10 01:19:35.620400,63.11.174.194,23.112.136.16,FTP,30182,333.7
2024-07-09 23:36:46.620400,185.57.110.118,167.182.26.129,UDP,32512,737.48
2024-07-10 06:56:24.620400,95.118.198.15,194.134.30.181,UDP,58943,337.57
2024-07-10 08:00:13.620400,65.149.125.42,72.228.105.96,HTTP,22158,1162.23
2024-07-09 16:20:32.620400,158.94.107.234,98.108.132.42,DNS,11965,135.19
2024-07-09 15:50:14.620400,219.132.87.166,104.182.34.245,TCP,17969,105.77
2024-07-10 03:42:11.620400,99.46.19.131,175.84.198.30,SMTP,38136,1003.44
2024-07-09 10:16:42.620400,77.27.137.144,8.167.29.122,TCP,26260,732.04
2024-07-09 12:29:59.620400,3.42.186.19,178.6.79.179,DNS,1916,448.72
2024-07-10 02:46:17.620400,49.125.188.167,14.49.141.98,TCP,50762,2078.36
2024-07-09 21:52:06.620400,78.64.41.96,144.220.171.80,TCP,38686,431.29
2024-07-09 12:40:20.620400,101.20.150.246,102.177.71.55,SSH,364,868.99
2024-07-09 17:27:56.620400,109.76.43.122,181.54.198.35,DNS,64821,34.07
2024-07-09 15:54:21.620400,146.92.242.102,124.193.99.206,DNS,17112,171.6
2024-07-09 18:01:11.620400,34.38.67.198,29.64.216.197,SMTP,18246,0.0
2024-07-10 04:45:08.620400,90.52.96.50,24.193.236.126,DNS,11743,148.45
2024-07-10 01:03:53.620400,60.43.230.146,102.75.134.145,SSH,14885,164.64
2024-07-09 11:04:09.620400,179.202.243.126,216.39.140.86,SSH,11065,1257.5
2024-07-10 08:40:43.620400,183.86.30.114,61.94.41.132,DNS,15675,1398.1
2024-07-10 03:49:19.620400,116.119.77.203,185.215.8.144,SSH,53820,1409.99
2024-07-09 16:57:11.620400,39.41.64.213,198.4.181.221,DNS,23627,132.03
